,user_id,data,data_type,length,time
125,1162805024,AwACAgIAAyEFAASj_XDDAAJ1xGhdoDP8TP4lLWphyb7YjAQojrqcAAJ1dwACSSnxSoT8BKMsi3BbNgQ,voice,20,1750966323
126,1162805024,AwACAgIAAyEFAASj_XDDAAJ1x2hdoEmnUrz8NAtpJg_-HHD0s-SXAAJ5dwACSSnxSpotsUYHDrWNNgQ,voice,7,1750966345
127,1162805024,А в вк можно платные сообщения поставить?),text,42,1750966401
128,1162805024,Тогда в чс,text,10,1750966422
129,1162805024,Чего нахуй?),text,12,1750966527
130,1162805024,Так продавай билеты,text,19,1750966544
131,1162805024,"Не, мне зп ещё не выдали",text,24,1750966563
132,1162805024,Денег нет,text,9,1750966565
133,1162805024,Не выгодно как то получится,text,27,1750966588
134,1162805024,"Надо не стендап рекламить, а самые дешевые авиабилеты от авиасейлс",text,66,1750966673
135,1162805024,А если бы там была мышь?,text,24,1750966724
136,1162805024,Просто на работе ситуация была..,text,32,1750966766
137,1162805024,BAACAgIAAyEFAASj_XDDAAJ17GhdofHn-UjEl88DJeAcVWjWREmQAAJBcAACWCLhSlWPzTeFV0DjNgQ,video,12,1750966769
138,1162805024,помянем,text,7,1750966845
139,1162805024,AwACAgIAAyEFAASj_XDDAAJ19GhdomBQje_P6mWXHGsXBBjgK9FMAAJmdQAC0DLwSuMplV6ntSI7NgQ,voice,20,1750966881
140,1162805024,"Да не у тебя ещё всё норм, она меня завтра лично захуярит чувствую",text,66,1750966963
141,1162805024,Чтобы меня убить?),text,18,1750966999
142,1162805024,"11 лет школы, на по ебалу, так?",text,31,1750967024
143,1162805024,Не поспоришь),text,13,1750967051
144,1162805024,Выгорание),text,10,1750967158
145,1162805024,Ну как тебе сказать..,text,21,1750967193
146,1162805024,Лучше чтоб её не было,text,21,1750967198
147,1162805024,"Не, она про норму по видео",text,26,1750967249
148,1162805024,ЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭЭ,text,20,1750967289
149,1162805024,НЕ НАДА МАТЬ,text,12,1750967294
150,1162805024,НЕ НАДО  РЕПРЕССИЙ,text,18,1750967303
151,1162805024,Это призыв к действию),text,22,1750967346
152,1162805024,Мне кажется ты меня ущемляешь в моих правах,text,43,1750967400
153,1162805024,Так я тех админ,text,15,1750967441
154,1162805024,Оооо,text,4,1750967470
155,1162805024,"Всё, до пятницы)",text,16,1750967477
156,1162805024,"Пока нет, я был немного занят проектировкой другого проекта",text,59,1750967512
157,1162805024,Надо кое какие детали с тобой обсудить,text,38,1750967520
158,1162805024,Есть админ чат в любом случае),text,30,1750967559
159,1162805024,Пасиба,text,6,1751037490
160,1162805024,DQACAgIAAyEFAASj_XDDAAJ692hezfalGDLsxyY4UBiRKT3rUutCAALufAAC0DL4SjTdHw9Z7poVNgQ,video_note,4,1751043574
161,1162805024,Да начнётся хаос!!),text,19,1751043708
162,1162805024,"Мать, а что будет если устроить революцию во флуде?)",text,52,1751054021
163,1162805024,AwACAgIAAyEFAASj_XDDAAJ8LGhe9x7PJIAqhEU1zSG54-GhIgsrAAIegAAC0DL4SvOG7vZZQFHINgQ,voice,20,1751054110
164,1162805024,AwACAgIAAyEFAASj_XDDAAJ8Umhe-G2KINCmolR98Ux1D1EovIl6AAIjgAAC0DL4StVj-z78KU7jNgQ,voice,16,1751054445
165,1162805024,"Фига, целых 5 у меня!)",text,22,1751128354
166,1162805024,"Факт, я играл тут",text,17,1751190673
167,1162805024,"Не, я занят чутка",text,17,1751190797
168,1162805024,В чьи руки ты флуд оставил..,text,28,1751199671
169,1162805024,Знаю),text,5,1751199694
170,1162805024,А можно мне бессрочный рест?),text,29,1751296364
171,1162805024,А со сроком бесконечность можно?),text,33,1751296404
